okay and on .. on the weekends what do you do on a weekend?	تمام و ف .. في اجازات أخر الاسبوع بتعملي ايه يوم اجازة؟	okay و ف .. في ال weekends بتعملي ايه يوم اجازة؟
it taught me how to balance between them and that's it	يعنى علمتنى شوية أزاى أوزن مش أكتر	يعنى علمتنى شوية أزاى أوزن مش أكتر
it usually depends on the person in front of me. if i feel that the person in front of me really wants to talk with me and to ice break, i start talking with him freely but for me, i really like ice breaking . i don't like being isolated from people.	هو دايما على حسب اللى قدامى لو حسيت أنه عايز فعلا يتكلم ويكسر الحواجز لا أنا بدوس أوى، لكن اه أنا بحب اتعرف أوى، انا مش بحب انعزل عن حد	هو دايما على حسب اللى قدامى لو حسيت أنه عايز فعلا يتكلم و ي break ال ice لا أنا بدوس أوى، لكن اه أنا بحب ا break ال ice أوى، انا مش بحب انعزل عن حد
i love talking with people freely and it's not necessarily to be right or wrong or, for example, or to be upset with me or angry from me but with all my respect, of course but i really like to get along with people so you should love this and learn how to do this.	بحب اتكلم مع ناس بحب أدوس مش مهم بقي تطلع صح ولا غلط، مثلا يزعل منى، يقفش منى، طبعا باحترام كل حاجة لكن لا اتعرف على حد ده حاجة لازم تحبها جدا لازم تتعلمها اصلا	بحب اتكلم مع ناس بحب أدوس مش مهم بقي تطلع صح ولا غلط، مثلا يزعل منى، يقفش منى، طبعا باحترام كل حاجة لكن لا اتعرف على حد ده حاجة لازم تحبها جدا لازم تتعلمها اصلا
so i felt that i have .. i am educated, actually, i won't say that it's a gift but i am educated so i feel free to talk and it's okay with me no matter what as long as it's in a respectful way.	فانا حاسس ان انا عندي ال .. أن أنا متعلم، يعني مش هقول موهبة يعني بس أنا متعلم ان انت اه لأ أدخل و اتكلم و هو زى ما تيجى تيجى يعنى طالما باحترام	فانا حاسس ان انا عندي ال .. أن أنا متعلم، يعني مش هقول gift يعني بس أنا متعلم ان انت اه لأ أدخل و اتكلم و هو زى ما تيجى تيجى يعنى طالما باحترام
i don't know what to say, yes but i should change my way of speaking, there's a special way you use when you deal with strangers unlike the way you use to deal with those you live with. so it will be different, of course but no i can talk with them but in a different way	هو مش بعرف اتكلم بس اه لأ لازم اغير طريقة كلامى، يعني في طريقة كلام كده حتى لما بتيجي تتعامل مع حد غريب غير مثلا لما بتتعامل مع حد تعرفه غير لما تتعامل مع حد انت عايش معاه، فالموضوع هيخلتف اه طبعا لكن لأ ممكن اعرف اتكلم بس طبعا الطريقة ممكن تكون مختلفة	هو مش بعرف اتكلم بس اه لأ لازم اغير طريقة كلامى، يعني في طريقة كلام كده حتى لما بتيجي تتعامل مع حد غريب غير مثلا لما بتتعامل مع حد تعرفه غير لما تتعامل مع حد انت عايش معاه، فالموضوع هيخلتف اه طبعا لكن لأ ممكن اعرف اتكلم بس طبعا الطريقة ممكن تكون مختلفة
i mean if somebody that got used to me realized that i have totally changed my way with one hundred eighty degree so when he sees me, he will say that i am not used to speaking this way.	يعنى لو واحد مثلا معايا هيشوف أن طريقتى اتغيرت ماية و تمنين درجة لما يشوفنى مثلا هيقول أنت مش متتعود تتكلم بالطريقة دى	يعنى لو واحد مثلا معايا هيشوف أن طريقتى اتغيرت ماية و تمنين درجة لما يشوفنى مثلا هيقول أنت مش متتعود تتكلم بالطريقة دى
definitely, yes when i speak with another person so this is the way how i can let them understand my view point.so it depends. i shouldn't have only one way to let people understand my point.	أكيد أه عشان أما اجي اتكلم مع حد تانى هى دى الطريقة اللى اعرف أوصله بيها معلومة و اعرف أوصل بيها وجهه نظري فالموضوع يختلف مش لازم اكون عندى طريقة واحدة وجهة نظرك مش هتوصل للناس كلها بالطريقة دى	أكيد أه عشان أما اجي اتكلم مع حد تانى هى دى الطريقة اللى اعرف أوصله بيها معلومة و اعرف أوصل بيها وجهه نظري فالموضوع يختلف مش لازم اكون عندى طريقة واحدة وجهة نظرك مش هتوصل للناس كلها بالطريقة دى
i will start with the good thing but i will laugh about the weird one at the end	هبدأ بالحلو عشان الغريب دى هضحك في الآخر	هبدأ بالحلو عشان ال weird دى هضحك في الآخر
		
it's good for me a little bit. it's not about being courageous but rather about .. about being spontaneous as i say what i think at once as i don't even think about it or repeat those words	حلوة أن انا يعنى شويه مش حكاية جرئ اكتر مانا بحب ان انا .. اه انا اللى على قلبي على لسانى على طول مش بفكر ولا بعيد الكلمتين	حلوة أن انا يعنى شويه مش حكاية جرئ اكتر مانا بحب ان انا .. اه انا اللى على قلبي على لسانى على طول مش بفكر ولا بعيد الكلمتين
so .. definitely, i am trying to do my best avoid this disadvantages this as much as i can	فعلى .. طبعا على قد مقدر بحاول الموضوع ده مايبقاش عيب يعنى	فعلى .. طبعا على قد مقدر بحاول الموضوع ده مايبقاش عيب يعنى
but yes, i am very honest and i usually like meeting my friends	لكن اه ان أنا صريح أوى و دايما بحب أقف مع صحابي يعنى	لكن اه ان أنا صريح أوى و دايما بحب أقف مع صحابي يعنى
i usually like checking on people even those who don't care	دايما احب أسال ع الناس حتى اللي مابيسألوش	دايما احب أسال ع الناس حتى اللي مابيسألوش
i love checking on everyone	بحب أسال عن أى حد	بحب أسال عن أى حد
i really love .. helping people	ب .. احب أساعد الناس جدا	ب .. احب أساعد الناس جدا
it makes me internally pleased, it may be nonsense. i may not believe this but this is the truth.	هي بتدينى فرحة كدا من جوا يعني و خلاص، ممكن يكون كلام عبط أصلا أنا أصلا ممكن أكون مش مصدقه بس ده الحقيقة يعنى	هي بتدينى فرحة كدا من جوا يعني و خلاص، ممكن يكون كلام عبط أصلا أنا أصلا ممكن أكون مش مصدقه بس ده الحقيقة يعنى
what i usually say is that i am a little bit honest	هي أكتر حاجة ممكن أقولها أن أنا أه شويه صريح	هي أكتر حاجة ممكن أقولها أن أنا أه شويه صريح
being honest is not .. not humiliating to the one in front of me.i mean if somebody did something wrong with me and i wanted to criticize him, i won't speak with him bluntly but it's totally the opposite as i will start speaking a step by step with him	و صراحتى مش بت .. مش بتعيب اللى قدامى يعنى لو حد عمل قدامى حاجة و شايف مثلا أنى عاوز انتقده، يعني مبتبقاش صراحة اللى هى توجع، لأ بالعكس لو حد قريب منى ببدأ واحدة واحدة معاه	و صراحتى مش بت .. مش بتعيب اللى قدامى يعنى لو حد عمل قدامى حاجة و شايف مثلا أنى عاوز انتقده، يعني مبتبقاش صراحة اللى هى توجع، لأ بالعكس لو حد قريب منى ببدأ واحدة واحدة معاه
if i don't care about this person, it will not care.	حد مش لازمنى مش فارقة	حد مش لازمنى مش فارقة
something that's weird, that i am very silly	حاجة غريبة أنى أنا تافه فشخ	حاجة weird أنى أنا تافه فشخ
yes actually, i mean my bachelor in particular	أه حقيقى، يعني في مشروع التخرج بتاعتى بالذات	أه حقيقى، يعني في ال bachelor بتاعتى بالذات
my doctor	الدكتور بتاعى	ال doctor بتاعى
once i took such a start, he made me feel that i shouldn't do this at all as it's very trivial	أول ما دخلت عليه الداخلة دى حسسنى الموضوع لأ انت مش لازم خالص تعمل الموضوع ده، الموضوع اتفه من كده بكتير	أول ما دخلت عليه الداخلة دى حسسنى الموضوع لأ انت مش لازم خالص تعمل الموضوع ده، الموضوع اتفه من كده بكتير
so once he said that it's trivial, i became in the mood	فهو أول ما قال أتفه دى انا خلاص دخلت في المود	فهو أول ما قال أتفه دى انا خلاص دخلت في ال mood
but yes, it's because of the courses that we have at university and because of the doctors and tas at university, you are forced to act like this way, to go freely in this path	لكن أه يعني بسبب الدورات التدريبية اللي عندنا في الجامعة و بسبب أن في ناس في الجامعة دكاترة أو مدرسين مساعدين انت مضطر ان انت تتعامل بالطريقة، اه انت بتدوس في الموضوع ده يعنى	لكن أه يعني بسبب ال courses اللي عندنا في الجامعة و بسبب أن في ناس في الجامعة doctors أو tas انت مضطر ان انت تتعامل بالطريقة، اه انت بتدوس في الموضوع ده يعنى
yes, i can live without a mobile	أه أقدر أعيش من غير موبايل	أه أقدر أعيش من غير mobile
actually, the mobile is not a great part of my life because i made myself busy doing other things, for example, as i said i usually read, as for my reading, i love the .. don't love the soft copies	يعنى الموبايل هو مش جزء رهيب من حياتى بسبب ان انا شاغل وقتى بحاجات تانية، مثلا زى ما قلت قبل كدا بقرأ كتير، و قرايتى انا بحب ال .. مش بحب خالص النسخ الإليكترونية	يعنى ال mobile هو مش جزء رهيب من حياتى بسبب ان انا شاغل وقتى بحاجات تانية، مثلا زى ما قلت قبل كدا بقرأ كتير، و قرايتى انا بحب ال .. مش بحب خالص ال soft copies
i train how to talk with people more	بتمرن بتكلم مع ناس أكتر	بتمرن بتكلم مع ناس أكتر
as for the mobile part, if i want to contact with somebody who's far from me that i can't reach him, i can't meet him, i won't be able to speak with him this way that he was away or even if there's an emergency and he cannot come then he did his best to come	أوقف في حتة الموبايل دي بحيث لو انا عاوز اتواصل مع حد بعيد عنى بقى، يعني مش عارف اوصله، مش هعرف اقابله، مش هعرف اتكلم معاه غير بالطريقة ان هو في بلد بعيد أو حتى فى ظرف مش هينفع ينزلى فقدر كده	أوقف في حتة ال mobile دي بحيث لو انا عاوز اتواصل مع حد بعيد عنى بقى، يعني مش عارف اوصله، مش هعرف اقابله، مش هعرف اتكلم معاه غير بالطريقة ان هو في بلد بعيد أو حتى فى ظرف مش هينفع ينزلى فقدر كده
a situation for example, or a specific idea, or what?	موقف مثلا ولا فكرة معينة و لا ايه؟	موقف مثلا ولا فكرة معينة و لا ايه؟
to make you persuaded of this?	اقنعك بيها؟	اقنعك بيها؟
if you have a shower with cold water everyday, will you lose weight.	أنت لو استحميت كل يوم بمية ساقعة هتخس	أنت لو استحميت كل يوم بمية ساقعة هتخس
the idea that you take a shower with cold water may make you crazy, as nobody will take a cold shower but you will take a cold shower, okay?	بص الفكرة أن انت تستحمى بمية ساقعة دى أصلا ممكن تجننك يعني، انت أى حد بيدخل مش هستحمى بمية سافعة، انت تستحمى و تقعد تحت الدش كده في مية ساقعة تلج، تمام؟	بص الفكرة أن انت تستحمى بمية ساقعة دى أصلا ممكن تجننك يعني، انت أى حد بيدخل مش هستحمى بمية سافعة، انت تستحمى و تقعد تحت الدش كده في مية ساقعة تلج، تمام؟
a step by step at first except that you feel as if you are dropped off from a plane or you went skydiving, it's really hard as you cannot breathe, you .. you cannot understand this	واحدة واحدة أولا ده غير أنك أنت بتحس أنك اكنك نزلت من طيارة ولا عملت قفز حر ده موضوع رهيب أنت بتدخل تتنفس مش قادر، ت .. ت.. مش عارف تستوعب بتقعد	واحدة واحدة أولا ده غير أنك أنت بتحس أنك اكنك نزلت من طيارة ولا عملت skydiving ده موضوع رهيب أنت بتدخل تتنفس مش قادر، ت .. ت.. مش عارف تستوعب بتقعد
you feel that it's easy for two or three minutes and everything is okay although the situation is difficult for example, you will jump from a plane, as you will make something great so you will feel great	دقيقتين تلاتة تحس أن انت ايه لأ الموضوع سهل و كل حاجة مع أن الموضوع صعب مثلا كأنك هتنط من طيارة، انت هتعمل حاجة رهيبة فبتديك كده زى أدرينالين ولا احساس كده رهيب	دقيقتين تلاتة تحس أن انت ايه لأ الموضوع سهل و كل حاجة مع أن الموضوع صعب مثلا كأنك هتنط من طيارة، انت هتعمل حاجة رهيبة فبتديك كده زى أدرينالين ولا احساس كده رهيب
in this way, no, you feel that it's normal and that you can do anything like doing exercises, running, swimming or doing anything, your adrenaline will make you gain an experience .. you will feel wow so that you can do anything	فبالطريقة دى لأ انت تحس أن عادى جدا أقدر أعمل أى حاجة ماشي أنزل اتمرن انزل اجري انزل أعوم انزل اتشعبط في اي حاجة، هتلاقي نفسك لأ الادرينالين ده اللي بيديك خبرة .. بيديك زي إحساس رائع كده يخليك تعمل أى حاجة	فبالطريقة دى لأ انت تحس أن عادى جدا أقدر أعمل أى حاجة ماشي أنزل اتمرن انزل اجري انزل أعوم انزل اتشعبط في اي حاجة، هتلاقي نفسك لأ الادرينالين ده اللي بيديك experi .. بيديك زي إحساس wow كده يخليك تعمل أى حاجة
how to lose wait? as you will walk a lot and think and of course, you won't eat	أزاى بقي تخس؟ ما أنت بقى هتتمشي كتير بقى و تفكر و كده أكيد مش هتاكل	أزاى بقي تخس؟ ما أنت بقى هتتمشي كتير بقى و تفكر و كده أكيد مش هتاكل
try this	جرب	جرب
you're most welcome	العفو يا جماعة على أيه تؤمرونى	العفو يا جماعة على أيه تؤمرونى
okay, i was born in kuwait	تمام أنا اتولدت في الكويت	okay أنا اتولدت في الكويت
i lived there for eighteen years.	عشت هناك تمانية عشر سنة	عشت هناك تمانية عشر سنة
then i come to egypt to join university	و بعدين نزلت مصر عشان اخش الجامعة	و بعدين نزلت مصر عشان اخش الجامعة
i went to an international school	المدرسة اللي أنا كانت اللي كنت كنت فيها كانت دولية	المدرسة اللي أنا كانت اللي كنت كنت فيها كانت international
i used to be in an igs i mean just before i joined university	بالظبط قبل يعني قبل ماجي الجامعة على طول كنت في الثانوية البريطانية	just before يعني قبل ماجي الجامعة على طول كنت في igs
once i am done with igs, i went to egypt as soon as possible	خلصت الثانوية البريطانية و نزلت مصر بدري قدر الإمكان	خلصت igs و نزلت مصر as soon as possible
i came here in 2010	و نزلت هنا 2010	و نزلت هنا 2010
and i have been living here on my own for nine years.	و بقالي عايش هنا في مصر لوحدي تسع سنين.	و been living هنا في مصر on my own تسع سنين.
okay i thought that the first year at university was really difficult	تمام بيتهيألي أول سنة جامعة الموضوع كان صعب شويه	okay بيتهيألي أول سنة جامعة الموضوع كان صعب شويه
i wasn't actually sure which department department i wanted to join.	مكنتش بصراحة متأكدة أنا كنت عاوزة أخش أنهي قسم أنهي قسم.	wasn't actually sure أنا كنت عاوزة أخش أنهي department أنهي department.
joining the faculty of engineering was mostly right because i am the only boy for my parents so i can't be anything other than an engineer or a doctor	لحد كبير كان ال يعني القرار الصائب كان هندسة عشان أنا ولد وحيد فماكانش ينفع أطلع حاجة تانية غير مهندس أو دكتور يعني	لحد كبير كان ال يعني القرار الصائب كان engineering عشان أنا ولد وحيد فماكانش ينفع أطلع حاجة تانية غير engineer أو doctor يعني
but given the circumstances and i am already the only boy so i had troubles dealing with people in general.	بس بما أن الظروف و إن أنا أصلا ولد وحيد أصلا فكان عندي مشكلة في التعامل مع الناس  بشكل عام	بس given the circumstances و إن أنا already ولد وحيد أصلا ف i had troubles dealing with people بشكل عام
i'm sort of introvert a little	أنا شبه إنطوائي شوية	i'm a sort of introvert شوية
i felt that this is the most suitable field for me personally	فحسيت أن ده أنسب مجال ليه شخصيا	فحسيت أن ده أنسب مجال ليه personally
because dealing with computers is a lot easier than dealing with human being	عشان التعامل مع الكومبيوتر أسهل كتير من التعامل مع البني أدمين .	عشان dealing with computers is a lot easier than dealing with human beings.
		
actually, the social aspect in my life was minor and the component was very weak	الناحية الاجتماعية في حياتي كانت صغيرة و كان يعني المكون بتاعها كان ضعيف أوي يعني	يعني ال social aspect في حياتي كان صغير و كان يعني ال component بتاعه كان ضعيف أوي يعني
so i was not able to deal with people so it was more comfortable with dealing with computers	فماكنتش قادر اتعامل مع الناس فكان الموضوع أريح بكتير الصراحة ان انا اتعامل مع الكمبيوترات يعني	فماكنتش قادر ا deal مع الناس فكان الموضوع أريح بكتير الصراحة ان انا اتعامل مع ال computers يعني
so plus that i was good at it actually	فبالإضافة أن أنا أنا كنت كويس فيه بصراحة	ف plus أن أنا i was good at it actually
i mean i remember when i was in cs one, yes, i got b minus but but i used to explain to others	يعني افتكر في سي أس 1 أينعم كنت جايب بي مينس بس أنا كنت بشرح لناس	يعني i remember في cs one أينعم كنت جايب b minus بس أنا كنت بشرح لناس
may be the grades weren't fair due to the circumstances	فيمكن الدرجة ماكنتش نصفاني شويه عشان الظروف	فيمكن ال grade ماكنتش نصفاني شويه عشان الظروف
but in cs two i think i got an a easily actually	بس في سي أس 2 اعتقد اني جبت امتياز بسهولة يعني	بس في cs two i think i got an a easily يعني
okay so i guess that my study was normalized normally like anybody else in my class	تمام فأعتقد أن الدراسة بتاعتي كانت عادية عادي زيي زي بقية دفعتى	okay so i guess الدراسة بتاعتي كانت normalized عادي زيي زي بقية دفعتى
i think it's all cs projects, except maybe for my bachelor project	اعتقد ان كلها مشاريع سي أس باستئناء يمكن مشروع التخرج بتاعي	i think ان كلها cs projects باستئناء يمكن ال bachelor project بتاعي
my bachelor project was about 3d object recognition which was something fancy actually at that time.	مشروع التخرج بتاعي كان التعرف على الهدف ثلاثي الأبعاد اللي كان في الوقت ده يعني حاجة خيالية	ال bachelor project بتاعي كان 3d object recognition which was at the time يعني something fancy
actually, yes, now the situation becomes easy but at that time in two thousand and fifteen, the project was a little bit difficult for me	يعني اينعم دلوقت الموضوع بقى أسهل بكتير بس يعني ساعتها في الفين و خمستاشر كان كان كان مشروع صعب شويه بالنسبالي	يعني اينعم دلوقت الموضوع بقى أسهل بكتير بس يعني ساعتها في الفين و خمستاشر كان كان كان project صعب شويه بالنسبالي
actually, i spent more than two months and every day, i spend from twelve to sixteen hours in front of my laptop alone	يعني بصراحة أنا قضيت فوق الشهرين كل يوم بقضي من اتناشر لستاشر ساعة على اللابتوب لوحدى يعني	يعني actually i spent فوق الشهرين كل يوم بقضي من اتناشر لستاشر ساعة على ال laptop لوحدى يعني
so i believe actually that it is one of the defining experiences in my life	ف أنا أعتقد يعني أن دي كت واحدة من التجارب المصيرية في حياتي	ف i believe يعني أن دي كت one of the defining experiences in my life
i felt that yes this is what hard work actually means	كنت حاسس أن هو لأ يعني هو ده معنى الكفاح يعني.	كنت حاسس أن هو لأ يعني this is what hard work actually means يعني.
my usual routine is that i feel as much as i can that i sleep seven hours as a block	الروتين المعتاد بتاعي هو أن انا بحاول على قد ما أقدر أن أنا انام سبع ساعات مرة واحدة	ال usual routine بتاعي is أن انا بحاول على قد ما أقدر أن أنا ا sleep seven hours as a block
i don't my sleeping time	مابقطعش نومي	مابقطعش نومي
i may spend a whole year taking three or four naps in total	ممكن أقضي سنة كاملة مثلا انام الضهر تلت أو أربع مرات في المجمل	ممكن أقضي سنة كاملة مثلا انام الضهر تلت أو أربع مرات in total
i really hate taking a nap in the middle of the day as i wake up suffering from headache. i don't like this so i try as much as i can to sleep for one block for seven hours, that's it	مابحبش نوم الضهر ده خالص، بصحى مصدع، و مابحبش الموضوع، فبحاول على قد ما أقدر أن انا دايما يبقى نومي مرة واحدة، سبع ساعات، بس كدا	مابحبش نوم الضهر ده خالص، بصحى مصدع، و مابحبش الموضوع، فبحاول على قد ما أقدر أن انا دايما يبقى نومي one block، seven hours، that’s it
if i sleep at eleven o'clock, i get up at five o'clock.	لو نمت الساعة حداشر بصحى الساعة خمسة	لو نمت الساعة حداشر بصحى الساعة خمسة
if i sleep actually no sorry from eleven till five o'clock around six hours	لو نمت الساعة الحقيقة لأ أسف حداشر لخمسة ده ست ساعات	لو نمت الساعة actually لأ sorry حداشر لخمسة ده ست ساعات
if i sleep at eleven o'clock, i get up at six o'clock.	لو نمت الساعة حداشر بصحى الساعة ستة	لو نمت الساعة حداشر بصحى الساعة ستة
if i sleep at eleven o'clock, i get up at five o'clock and so on.	لو نمت الساعة عشرة بصحى الساعة خمسة، كده يعني	لو نمت الساعة عشرة بصحى الساعة خمسة، كده يعني
but once i get up, obviously actually i read a few articles. actually, once you get up, you are supposed to take a cold shower because this shock makes blood migrate into the inner organs rather than the outer organs.	بس اول ما بصحى الحقيقة قريت شوية مقالات يعني أن اول حاجة المفروض تعملها الصبح انك تأخد دش ساقع عشان الصدمة دي بتخلي ال الدم يتنقل للأعضاء الداخلية مش لبرا	بس اول ما بصحى obviously actually read a few articles يعني أن اول حاجة المفروض تعملها الصبح انك تأخد cold shower عشان ال shock ده بتخلي ال ال blood ي migrate into the inner organs مش لبرا
so it sort of gives you like a awake up call, it alerts you.	ف هي بتديك زي خبطة تفوقك كده اللي هو اصحى يعني	ف it is sort of gives you like a awake up call كده اللي هو اصحى يعني
because your organs have entered a sort of hibernation state while you are asleep.	عشان الأعضاء بتبقى دخلت في في نوع من أنواع السبات وانت نائم	عشان organs بتبقى دخلت في sort of a hibernation state وانت نائم
so once you take a cold shower, water i mean blood flows into the organs out actually away from the skin cells	فأول ما تيجي تاخد الدش الساقع المية يعني الدم بيحاول يتدفق للأعضاء برا يعني بعيد عن خلايا الجلد	فأول ما تيجي تاخد ال cold shower المية يعني الدم بيحاول ي flow into the organs out يعني away from the skin cells
so it actually works	ف فعلا بينفع	ف it actually works
actually the cold shower makes you awake	يعني الدش الساقع فعلا بيصحي الصبح جامد يعني	يعني ال cold shower فعلا بيصحي الصبح جامد يعني
but yes actually and as soon as i take my shower i just get my breakfast and come to uni or work actually	بس ف اه يعني وأول ما أخد الدش بتاعي بفطر وأروح الجامعة او شغل يعني.	بس ف اه يعني and as soon as i take my shower i just get my breakfast and come to uni او work يعني.
unfortunately i'm not a very sportive person	للأسف أنا مش شخص رياضي	unfortunately i'm not a very sportive person
so i watch tv series and this is the only thing i do in weekends	ف الحاجة الوحيدة اللي بعملها في إجازات أخر الأسبوع هو ان انا بتفرج على مسلسل تليفزيوني	ف the only thing i do in weekends is ان انا i watch tv series
that's it	بس بس كدا	بس that's it
actually netflix mainly	نتفليكس غالبا يعني.	netflix mainly يعني.
okay, the last movie i have watched was split	تمام أخر فيلم اتفرجت عليه كان انقسام	okay أخر فيلم اتفرجت عليه كان split
i wanted to go and watch a movie called glass	و كنت عاوز أخش فيلم زجاج	و كنت عاوز أخش فيلم glass
i felt that i have watched unbreakable although it was very old movie that i watched long ago	حسيت ان انا شفت غير قابل للكسر مع أن ده يعني كان قديم أوي بس شفته من زمان أوي	حسيت ان انا شفت unbreakable مع أن ده يعني كان قديم أوي بس شفته من زمان أوي
i really liked it	و كان عاجبني جدا	و كان عاجبني جدا
and obviously glass is based on unbreakable and split	وطبعاً زجاج مبني على غير قابل للكسر و انقسام	و obviously glass مبني على unbreakable و split
i watched split and it was actually really interesting.	وشفت انقسام و فعلا كان شيق جدا	وشفت split و it was actually really interesting
actually, the concept of multi-personality disorder is really really interesting.	يعني المبدأ بتاع اضطراب تعدد الشخصيات ده فعلا فعلا شيق	يعني concept بتاع ال multi-personality disorder ده is really really interesting
actually when i watched youtube videos that discuss a topic a little bit fancy topic	يعني لما حتى قعدت اتفرج على فيديوهات يوتيوب بتتكلم ع الموضوع هو الموضوع خيالي شويه	يعني لما حتى قعدت اتفرج على youtube videos بتتكلم ع الموضوع هو الموضوع fancy شويه
as at one point, there was a woman that a man was asking her questions and she was replying having a certain attitude, tone and way after that with a few minutes exactly, he asked her the same question and she answered in a different way and the content of the answer is totally different	اللي هو في حتة معينة كان في واحدة الراجل بيسألها سؤال وهي بتجاوب عليه بأسلوب و نبرة و طريقة معينة و بعد كده بعديها بالظبط بكام دقيقة يسألها نفس السؤال ترد عليه بطريقة مختلفة تماما و المحتوى بتاع الأجابة مختلف تماما	اللي هو at one point كان في واحدة الراجل بيسألها سؤال وهي بتجاوب عليه ب attitude و tone و طريقة معينة و بعد كده بعديها بالظبط ب a few minutes يسألها نفس السؤال ترد عليه بطريقة مختلفة تماما و ال content بتاع الأجابة مختلف تماما
her tone of voice is totally different and the accent sort of even it becomes a little bit different as if she is southern i mean the southern states although she is not southern at all	و النبرة بتاعة صوتها مختلفة تماما و اللهجة بشكل ما حتى اختلفت شوية اللي هو كأنها قلبت جنوبية يعني م الولايات الجنوبية مع أن هي اصلا مش جنوبية	و النبرة بتاعة صوتها مختلفة تماما و ال accent sort of حتى اختلفت شوية اللي هو كأنها قلبت southern يعني م ال southern states مع أن هي اصلا مش southern
actually, it's a little bit creepy.	يعني الموضوع كان مخيف شويه	يعني الموضوع كان مخيف شويه
so but actually it's an interesting movie	ف بس يعني فيلم شيق جدا يعني.	ف بس يعني it's an interesting movie يعني.
very interesting	جدا.	جدا.
my favorite author or who i love reading for is khaled el husseiny	أكتر كاتب بحب او يعني اكتر كاتب بحب اقراله خالد الحسينى	أكتر كاتب بحب او يعني اكتر كاتب بحب اقراله خالد الحسينى
the theme of khaled elhusseiny in general is just pain trauma which is painful drama actually which is the only thing that teaches human being honestly	خالد الحسيني الفكرة الرئيسية بتاعته عامة هي مجرد صدمة مؤلمة اللي هي دراما مؤلمة يعني هي دي الحاجة الوحيدة اللي بتعلم البني أدم صراحة يعني	خالد الحسيني ال theme بتاعه in general is just pain trauma which is painful drama يعني which is the only thing that teaches human beings صراحة يعني
actually all his books are good but maybe the book that influenced me the most was and the mountains echoed.	هو بصراحة كل الكتب بتاعته كانت حلوة بس يمكن أكتر كتاب من اللي هو كتبه من اللي قريتهمله يعني اثر فبا كان ورددت الجبال الصدى .	هو actually كل الكتب بتاعته كانت حلوة بس يمكن أكتر كتاب من اللي هو كتبه من اللي قريتهمله يعني اثر فبا كان and the mountains echoed .
i believe actually	اعتقد يعني	i believe يعني
it was .. was a very gloomy book honestly	كان .. كان كتاب حزبت اوي الصراحة	كان .. كان كتاب حزبت اوي الصراحة
generally, the author is from an afghan background	هو الكاتب عامة اصلا من أصل افغاني	هو الكاتب عامة اصلا من افغاني background
he was a refugee actually and left afghanistan and went to pakistan then migrate to the us.	و هو لاجئ يعني و خرج من أفغانستان و راح باكستان و بعد كده هاجر الولايات المتحدة	و هو refugee يعني و خرج من أفغانستان و راح باكستان و بعد كده هاجر ال us
so all his stories are themed around the refugees and the war that started in afghanistan and so on.	فهو كل القصص بتاعته اصلا بتبقي بتدور حوالين اللاجئين و الحرب اللي قامت في أفغنستان و وكده يعني	فهو كل القصص بتاعته اصلا بتبقي themed حوالين ال refugees و الحرب اللي قامت في أفغنستان و وكده يعني
as the story tackles a character that lived during the war and actually how did she stumble upon one family to the other	فالقصة كانت بتتناول شخصية كانت عايشة وقت الحرب يعني وإزاي كانت عمالة تتنقل يعني من عيلة لتانية	فالقصة كانت بتتناول شخصية كانت عايشة وقت الحرب يعني و how did she stumble upon يعني من one family to the other
and then how the war influenced them although this woman was from a very wealthy family	و بعدين أزاي الحرب أثرت عليهم مع أن هي الست دي كانت عايشة في عيلة غنية أوي	و بعدين أزاي الحرب أثرت عليهم مع أن هي الست دي كانت عايشة في عيلة غنية أوي
and how she went down and lived in a low state and it's really bad actually	و أزاي انحدرت و عاشت بقى في وضع بسيط و حاجة وحشة يعني	و أزاي انحدرت و عاشت بقى في low state و حاجة وحشة يعني
but and and how did she find i guess a true love	بس و و ازاي لاقيت الحب الحقيقي اعتقد	بس و و how did she find i guess a true love
eventually, there should be the part of love and imaginary in order to make an entertaining story actually i guess	في الاخر يعني لازم يبقى دايما في جزء الحب الخيالي ده عشان نعمل قصة تسلي يعني أعتقد.	في الاخر يعني لازم يبقى دايما في part ال love ال imaginary ده عشان ن make a story تسلي يعني i guess.
i guess it depends on the geographical state that we will be in	أعتقد انها بتعتمد على الحالة الجغرافيا اللي احنا هنكون فيها	i guess it depends على ال geographical state اللي احنا هنكون فيها
actually, i'm not sure honestly as i should stay in egypt or leave	يعني لو انا مش متأكد الصراحة أن أنا يعني هفضل موجود هنا في مصر أو هطلع	يعني لو انا i'm not sure الصراحة أن أنا يعني هفضل موجود هنا في مصر أو هطلع
actually, i'm not settled yet	أنا يعني دي حاجة مش مستقر لسه	i'm يعني دي حاجة مش settled لسه
so it's assuming to travel another country so i'm guessing that any school will do	فنفترض أن أنا سافرت بلد تانية ف أعتقد إن ال أي مدرسة هتمشي الحال	ف assuming أن أنا سافرت بلد تانية ف i'm guessing إن ال أي مدرسة will do
actually, there's a standard of education and there's not a great difference	يعني هناك المعيار بتاع التعليم مافيهوش تفاوت كبير	يعني هناك ال standard بتاع ال education مافيهوش تفاوت كبير
most probably the majority of schools are almost the same thing	معظم المدارس الى حد كبير هي تقريبا نفس الشئ	معظم المدارس الى حد كبير هي almost the same thing
