Batman vs Superman	batman banaam superman	batman vs superman
Just that while critics do vary in response, a 94% rating is pretty decent! A from cinema score and 79/100 on Metacritic	halanki alochakon kii pratikriya alag-alag hoti haye, 94% rating kaafee achchi haye! cinema score seey aii aur metacritic parr 79/100	Jabki critics response mein vary karte hain, 94% rating kafi decent hai! cinema score par A aur Metacritic par 79/100
That is very impressive. Thank you for time!	yeh bahut prabhaavshaali haye. samay dene key liye dhanyavaad!	Ye bohat impressice hai. Time dene ke liye thank you
Hello!	namaste!	Hello!
What do you like the most about this movie?	aapako iss film key baare mein sabse jyada kyaa pasand haye?	Tumhe iss movie mein kya accha laga?
I really enjoyed the music from this film!  What was your favorite thing about Frozen?	maine vaastav mein iss film key sangeet kaa anand liya!  frozen key baare mein aapaki pasandida cheez kyaa thee?	Meine iss film ka music really enjoy kiya! Tumhe Frozen mein kya accha laga?
The songs	gaane	Isske Songs
My kids love it	merey bachche ise pasand karate hain	Mere kids love it
I also like that it was inspired by an existing fairy tale.	mujhe yeh bhee pasand haye kii yeh ack maujooda purry kathaa seey prerit thee.	I also like kyoki yeh ek fairy tale se inspired hai
The animation was excellent and amazing!	animation utkrisht aur adbhut thaa!	Iska animation amazing aur excellent hai
Yeah, the animation and the plot is amazing	haan, animation aur kathaanak adbhut haye	Yeah, animation aur plot dono amazing hai
What is your favorite chARACTER?	aapka pasandida charitra kaun saa haye?	Tumhara favorite character kaun hai?
*CHARACTER	*charitra	*Character
Mine is Anna	meraa annaa haye	Mein toh Anna hoon
Anna.  I'm a fan of Kristen Bell's other work as well.	annaa.  main christon bell key anya kaaryon kaa bhee prashansak huun.	Anna? Mein toh Kristen Bell ka fan hoon
I love her voice!	mujhe usaki aavaaz bahut pasand haye!	muje uska voice bahut pasand hein
I like that Anna was fearless, and didn't act like your typical Disney princess.	mujhe yeh pasand haye kii enaa nidder thee aur usane aapaki vishisht disney rajkumari kii tarah vyavhaar naheen kiya.	muje Anna ka fearless pasand hein, aur voh apni typical Disney Princes ke tarah nahi thi
That's right...she's extroverted and fun!	yeh sahee haye...vaha bahirmukhi aur mazedaar haye!	voh toh thik hein... aur voh extroverted aur fun thi
The first part of the movie, explaining how the sisters were orphaned, and how their circumstances drove them apart was tragic, but I do like how everything wrapped up in the end.	film kaa pahala bhaag, jisamen bataaya gayaa haye kii kaise bahanen anath hoe gaeen aur kaise unaki paristhitiyon ney unhein alag curr diyaa, dukhad thaa, lekin mujhe yeh pasand haye kii anta mein sub kuchh kaise khatm hoe gayaa.	First part mein voh us sisters ke orphaned ke baare mein dekhaye aur kaise us circumstances ko handle kiye, lekin muje toh end part pasand aaya
It's hard to believe this is Disney's 53rd animated feature film!  I'd find it difficult to even name that many Disney animated features!	yeh vishvaas karna kathin haye kii yeh disney kii 53veen animated feature film haye!  merey liye itane saare disney animated feature kaa naam bataana bhee mushkil hoga!	muje yakin hi nahi hota ki yeh Disney ka 53rd animated feature film hein! muje kahi Disney animated features toh yaad hi nahi hein
Yeah, the ending  has a very special meaning	haan, anta kaa ack bahut hii vishesh arth haye	haan yar ending toh special hi tha
Do you have any other favorite film?	kyaa aapaki koee aur pasandida film haye?	kya aapko dusra favorite film koi hein kya?
from Disney	disney seey	Disney mein?
A few, but I thought for purposes of this exercise, we must confine our conversation to the information in the document?	kuchh, lekin maine socha kii iss abhyaas key prayojanon key liye, hamein apani baatchit koo dastaavez mein dee gaee jaankaari taka hii seemit rakhna chaahiye?	kuch, but I thought ye exercise is purpose ke liye hai, hame apna conversation is document ke information par hi confine karna chahiye
That's correct	yeh sahee haye	yah correct hai
What is your rating for Frozen?	frozen key liye aapaki rating kyaa haye?	tumhari rating kya hai Frozen
The document is growing, and additional detailed information about scenes from the movie were just added.  I'm reminded of the scene where Elsa builds her ice palace.  It was an impressive bit of computer generated animation.	dastaavez badh rhaa haye, aur film key drishyon key baare mein atirikt vistrit jaankaari abhee jodee gaee haye.  mujhe vaha drishya yaad aaa rhaa haye jahaan elsa apana burf kaa mahal banaati haye.  yeh computer janit animation kaa ack prabhaavshaali namuna thaa.	yeh document grow kar raha hai, and is movie ke scene ke baare me atirikt detailed information add kiye hai. mujhe us scene ke baare me remind karwa jisme Elsa apn ice palace banati hai. computer generated animation bahut impressive tha.
I would rate Frozen as an 80%, or 8 out of 10.	main frozen koo 80% yaa 10 mein seey 8 rating doongaa.	mai Frozen ko 80% rate karunga, ya 8 out of 10
Yeah, the animation was outstanding	haan, animation utkrisht thaa	Sach me, animation outstanding tha
My favorite scene is when Anna gets hitby Elsa  at the very beginning.	meraa pasandida drishya vaha haye jaba enaa shuruat mein hii elsa seey takra jaati haye.	mera favorite scene wo hai jisme Anna Elsa ko hit karti hai ekdum begining me
The Duke of Weselton has a name that looks suspiciously like the term weasel !	duke off wesselton kaa ack naam haye joe sandigdh roop seey veezal shabd jaisa dikhta haye!	Weselton ka Duke ka naam suspiciously term weasel ke jaise lagta hai
I like all the scenes with musical numbers in them.	mujhe sangeetmay nambaron vaale sabhi drishya pasand hain.	mujhe wo musical number wale sabhi scene pasand hain
What did you like the least about the film?	aapako film key baare mein sabse cumm kyaa pasand aayaa?	tumhe film ke baare me sabse kam pasand scene kaun sa hai
I did not like that the parents died	mujhe achchha naheen lagaa kii maataa-pitaa marr gaye	mujhe nahi achha laga ki parents marr gaye.
did you know that there is a scene where rapunzel appears in Frozen?	kyaa aap jaanate hain kii frozen mein ack drishya haye jisamen rampanzel dikhaai detee haye?	Tumhe pata hai Frozen mein ek scene hai jahan Rapunzel aati hai?
The parents dying was sad and unexpected, and a dramatic way to start the film	maataa-pitaa kii mrityu dukhad aur apratyaashit thee, aur film koo shuru karane kaa ack naatakiya tarika thaa	Parents ki maut bohot sad aur unexpected thi, aur movie ko start karne ka dramatic way tha.
I did not know that Rapunzel appeared in Frozen.	mujhe naheen pataa thaa kii rampanzel frozen mein dikhaai dee thee.	Mujhe nahi pata tha ki Frozen mein Rapunzel aati hai.
Yeah, very briefly	haan, bahut sankshep mein	Haan, thodi derr ke liye
I have to agree it's the best Disney animated film in quite a few years... since the Lion King.	mujhe iss baat seey sahmat honah hoga kii yeh pichale kuchh varshon mein lyon king key baad seey sarvshreshth disney animated film haye.	Bohot saalon mein Disney ki best animated film hai, Lion King ke baad.
Yeah, the best film in modern animation.	haan, aadhunik animation mein sarvshreshth film.	Haan, modern animation mein best film hai.
Hi! How are you? Seen any good movies lately?	namaste! aap kaise hain? haal hii mein koee achchi film dekhi?	namaste! kya haal hai? haal hee mein koee achchhee philm dekhee?
yeah, Frozen	haan, jamey hue	haan, jame hue
Sounds like a cold movie! Can you tell me what it's about?	ack thhandi film kii tarah lagata haye! kyaa aap mujhe bataa sakate hain kii yeh kiss baare mein haye?	ek thandee philm kee tarah lagata hai! kya aap bata sakate hain ki yah kis baare mein hai?
Its about two girls Anna and Elsa	yeh dou ladkiyon annaa aur elsa key baare mein haye	ye do girls ke bare me he Anna and Elsa
Anna is a princess	annaa ack rajkumari hain	Anna princess he
and Elsa is her younger sister	aur elsa usaki chhoti bahan haye	Aur Elsa uski younger sister he
Gotcha! Is it a movie for children or adults or both?	samajh gayaa! kyaa yeh bachchon yaa vayaskon yaa donon key liye ack film haye?	Gotcha!ye movie children ke liye ya adult ke liye ya dono ke liye he
Difficult to say, probably for both	kahana mushkil haye, shayed donon key liye	Batana to difficult he , probably dono ke liye he
Well I like kids movies just as much as adult ones sometimes! Did you really enjoy watching it?	vaise mujhe bachchon kii filmein bhee utani hii pasand hain jitani kabhi-kabhi vayaskon kii! kyaa aapako ise dekhane mein sachmuch anand aayaa?	well kabhi kabhi mujhe kids movies utni hi pasand aati he jitni adult !kya tumne ise dekhna really enjoy kiya?
well,  its been acclaimed as the best musical made by Disney	khair, ise disney dwara nirmit sarvshreshth sangeet key roop mein saraha gayaa haye	well, ye acclaimed kiya jata raha he ki ye Disney dwara banaya gaya best music he
I'm trying to find a good movie to watch tonight.	main aaj raat dekhane key liye ack achchi film dhoondhane kii koshish curr rhaa huun.	Me Aaj rat dekhne ke liye best movie khojne ki try kar raha hu
Sounds like a hit then! Disney movies are always excellent.	taba tou yeh ack hitt kii tarah lagata haye! disney filmein hamesha utkrisht hoti hain.	tab to hit lagti he!Disney movies always excellent hoti he
yeah, its also 3D animated, the visual are really good	haan, yeh 3dee animated bhee haye, drishya vaastav mein achche hain	yeah, ye 3d animated bhi he, visual to really good he
even rotten tomatoes gave it 89%	yahaan taka ​​kii sadey hue tamataron ney bhee ise 89% diyaa	yahaan tak ​​ki rotten tomatoes ne bhi ise 89% diya
Not a bad review for Rotten Tomatoes! I	rotten tomatose key liye koee buri sameeksha naheen! main	Rotten Tomatoes ka duara accha review diya gaya hai!
Is it fairly new or a few years old?	kyaa yeh bilkul nayaa haye yaa kuchh saal purana haye?	kya yah kaaphee new hai ya thoda old hai?
well,  it came out in 2013	khair, yeh 2013 mein saamane aayaa	Yah 2013 mein out hua tha.
So fairly new. At least compared to some of the other Disney princess movies!	bilkul nayaa. cumm seey cumm kuchh anya disney rajkumari filmon kii tulana mein!	Yeh kaaphee naya hai.At least baaki Disney princess movies kee tulana mein!
Can you tell me what the basic plot is?	kyaa aap mujhe bataa sakate hain kii mool kathaanak kyaa haye?	kya aap bata sakate hain ki basic plot kya hai
Don't give too much away though! I don't want to know the ending!	haalaanki, bahut adhik daan naa karein! main anta jaanana naheen chaahata!	vaise bhi bahut bahut jyada mat batana! main ending jaanana nahin chaahata!
ahaahah, ok	ahahaha, thheek haye	aahaaha, ok hai
the plot is really good, magic things, talking animals, its exactly what we want from Disney	kathaanak vaastav mein achchha haye, jadui cheejen, baat karate janwar, yeh bilkul vahee haye joe humm disney seey chaahte hain	plot really mein achchha hai, magic cheegain, talking animals, bilkul vaisa hee jaisa hamDisney se chaahate hain
Perfect!	uttam!	Perfect! hai
I think I have found my movie for tonight!	mujhe lagata haye kii mujhe aaj raat key liye merrie film mill gaee haye!	mujhe lagata hai ki mujhe aaj raat ke lie apanee philm mil gaee hai!
Thanks so much for your recommendation!	aapaki anushansa key liye bahut bahut dhanyavaad!	aapakee siphaarish ke lie bahut bahut dhanyavaad!
Sure, no problem! Its also very emotional, so you may need some tissues :)	jaroor koee baat naheen! yeh bahut bhaavanaatmak bhee haye, isaliye aapako kuchh ootakon kii aavashyakta hoe sakati haye :)	bilakul koee pareshaanee nahee! yah bhee bahut bhaavuk hai, to aapako kuchh ootakon kee aavashyakata ho sakatee hai :)
All the best ones are tear jerkers! I'll be sure to have them handy along with some good snacks.	sabhi behtareen loga aansu bahaane vaale hain! main unhein kuchh achche nashte key saath avashya rakhunga.	sabhee behatareen aansoo jhatakedaar hain! mujhe yakeen hai ki unhen kuchh achchhe snaiks ke saath kaam karana hoga.
yeah, the ending is definitely not what you would expect it to be	haan, anta nishchit roop seey vaisa naheen haye jaisa aap ummeed karenge	haan, ant nishchit roop se vah nahin hai jo aap yah hone kee ummeed karenge
Is it a happy ending at least?	kyaa yeh cumm seey cumm ack sukhad anta haye?	kya yah kam se kam ek sukhad ant hai?
well, you have to see it yourself	khair, aapako ise swayam dekhana hoga	theek hai, aapako ise svayan dekhana hoga
not to spoil it	ise kharaab karane key liye naheen	ise kharaab karane ke lie nahin
the only hint I will give you is that it gets "political" at the end	ekmatra sanket joe main aapako doongaa vaha yeh haye kii anta mein yeh "raajneetik" hoe jaataa haye	ekamaatr sanket jo main aapako doonga ki vah ant mein "raajaneetik" ho jaata hai
True! I hope it's a happy ending! Is this a Disney movie that has a sequel?	satya! mujhe aasha haye kii iska anta sukhad hoga! kyaa yeh ack disney film haye jiska seekwal haye?	sach! mujhe aasha hai ki yah sukhad ant hai! kya yah ek dijnee philm hai jisaka seekval hai?
actually, I don't know	asal mein, mujhe naheen pataa	vaastav mein, mujhe nahin pata
Well since it's so new they may have not made one yet. But since it had such great reviews I'm sure they will! I	khair, choonki yeh bahut nayaa haye isaliye hoe sakata haye kii unhone abhee taka ise naheen banaaya hoe. lekin choonki isaki itani achchi sameekshaaen theen, mujhe yakeen haye kii hongi! main	khair choonki yah bahut naya hai isalie unhonne abhee tak ek nahin banaaya hai. lekin jab se yah is tarah ke mahaan sameekshaen tha mujhe yakeen hai ki ve karenge! main
I'll tell you if I enjoyed watching it but I'm sure I will!	aggar mujhe ise dekhane mein majaa aayaa tou main aapako bataaunga, lekin mujhe yakeen haye kii mujhe majaa aayega!	main aapako bataoonga agar mujhe ise dekhane mein maza aaya lekin mujhe yakeen hai ki main karoonga!
Dunkirk seems interesting	dunkirk dilchasp lagata haye	Dunkirk acha lagata hai
It is, it's about a historical event that happened during WWII	yeh dwiteeya vishva yuddh key dauran hui ack aitihaasik ghatana key baare mein haye	Yah WWII ke dauraan huee ek itihaasik ghatana ke baare mein hai
It got excellent reviews from Rotten Tomatoes	rotten tomatose seey ise behtareen sameekshaaen mileen	Ise rotten tomatoes se acha reviews  milee
Yeah those are some very high ratings	haan, yeye kuchh bahut oonchi rating hain	Haan, vo kuchh bahut hee high ratings hain
Do you like war movies?	kyaa aapako yuddh filmein pasand hain?	thuje warmovie acchi lakthi hai?
I love war movies, especially ones based on historical events	mujhe yuddh filmein pasand hain, khaskar aitihaasik ghatnaaon parr adharit filmein	mujhe warmovie pasant hai, zyathathar pouranic sambhav
are you familiar with the premise of Dunkirk?	kyaa aap dunkirk key parisar seey parichit hain?	kya thumhaym dunkrik ke bare maym patha hai?
I am not	main naheen huun	muje patha nahi
It was about a failed attack where British and Candian soldiers were trapped	yeh ack asafal hamale key baare mein thaa jisamen british aur kanadai sanic funce gaye they	ye ek haari huye akraman ke bare maim hai, jaham british aur candian sipahi fus gaye the
they had to pull all available boats including civilian vessels to help all the troops escape	sabhi sainikon koo bhaagne mein madad karane key liye unhein nagrik jahaajon sahit sabhi upalabdh naavon koo kheenchana padaa	unhaym apne bachav ke liye sare upalabd nav or naagarik jahaajzom ka upyog karna pada
Yeah seems pretty intense	haan, kaafee teevr lagata haye	yeh bahuth hi teevr lega
it was, with no help, lots of soldiers attempted to flee as fast as they could	binaa kissy madad key, bahut seey sainikon ney jitani teji seey bhaag sakate they bhaagne kaa prayas kiya	yis maim bahuth sipahi kisi ki madath ke bina apni bachav karne ki koshish kar rahe the
Crazy stuff	pagal saman	eah bahuth hi manoranjak tha
Moonstone seems like an interesting name for a boat	moonstone ack naav kaa dilchasp naam lagata haye	moonstone yis nav ke liye dilchusp nam lega
it is, but everyone has their own preference	yeh haye, lekin harr kissy kii apani pasand hoti haye	wo hai , but sab ke khud k preference hote hai.
Huh why is Gibson pretending to be a British Army private	huh, gibson british armi private honey kaa naatak kyon curr rhaa haye	huh Gibson British Army private hona kyu pretend karra hai
with all that's going on, i think you will do whatever you need to try and escape the madness	yeh sub kuchh chala rhaa haye, mujhe lagata haye kii pagalpan seey bachane key liye aapako joe bhee prayas karane kii aavashyakta hogi vaha aap karenge	Itna sab jo bhi chal raha hai , mujhe lagta hai tum kuch bhi try karoge ye pagalpan se escape karne k liye
I see. So he wants to escape too	achchha aisaa haye. isaliye vaha bhee bhagna chaahata haye	I see, wo bhi escape karna chahta hai
absolutely	bilkul	bilkul
you can see just about everyone does anything, hiding, figuring ways to get out	aap dekh sakate hain kii lagbhag harr koee kuchh bhee kartaa haye, chhipata haye, baahar nikalane key tareeke dhoondhata haye	tum dekh sakte ho har koi kuch bhi karra hai, chup raha hai, soch raha hai bahar nikalne k tareeke
That's pretty sad huh	yeh bahut dukhad haye huh	Kaafi sad hai huh
fight or flight sometimes, young kids fighting a war they know not much about	kabhi-kabhi ladana yaa bhagna, chhote bachche ack aisaa yuddh ladate hain jisake baare mein way jyada naheen jaanate hain	Fight or flight wali baat kabhi kabhi, young bacche lad rahe hai ek war jiske baare unhe kuch pata bhi nahi hai
Everyone just wants to live	harr koee buss jeena chaahata haye	Sab bas zinda rahna chahte hai
agreed, the terrors are war are long forgotten as heros are always celebrated for victories	sahmat, yuddh kii bhayavahata koo lambe samay seey bhulaa diyaa gayaa haye kyonki nayakon koo hamesha jeet key liye manaaya jaataa haye	Agreed, war naam ke terror har koi bhul jata aur hero log ka victory k liye celebration hota hia.
True true	sach sach haye	Sachi sachi
just like the solider being pulled out of the water	thheek vaise hii jaise sipahi koo paani seey baahar nikala jaa rhaa hoe	Jaise sipaahee ko paani se bahaar nikaala ja raha ho
It seems the evacuation was a success here	aisaa lagata haye kii yahaan nikasi safal rahee	Aisa lagata hai ki nikaasee yahaan ek saphalata thee
it was, they were able to save enough lives to fight another war	aisaa huaa, way ack aur yuddh ladane key liye paryaapt zaan bachaane mein saksham they	Ya tha ki ve ek aur yuddh ladane kelie paryaapt jeevan bachaane mein saksham the
or should i say battle	yaa mujhe yuddh kahana chaahiye	Ya mujhe yuddh kahana chaahie
Hmm. it's sad lives become trivialized. they become another resource to exploit for the country	humm. yeh dukhad haye kii jeevan tuchchh hoe gayaa haye. way desh key shoshan key liye ack aur sansaadhan bunn jaate hain	Ya dhukad hai ki desh ke shoshan kelie ve tuchchh ho jaate hain
Anyways thank you for discussing the movie with me	baharhal, merey saath film parr charcha karane key liye dhanyavaad	Vaise bhi mere saath film ko charcha karane kelie dhanyavaad
yes but a good watch to really understand, thank you	haan, lekin vaastav mein samajhane key liye ack achchi ghadee, dhanyavaad	Haan lekin ek achi ghadee vaastav mein dhanyavaad samajhane kelie
hi	namaste	Namaste
Hey	arey	thik hai
so what movie r we chating bout	tou humm kiss film key baare mein baat curr rahey hain	To kis movie ke bare mei ham baat kar rahe hai
The notebook	notebook	ye Kitaab
It's a romantic drama	yeh ack romantic drama haye	Ye ek romantic natak hai
best and only romantiv film  i ever enjoyed	abb taka kii sarvshreshth aur ekmatra romantic film jiska maine anand liya	bahut aachi or keval ek romantic movie jisko mene hamesh maja liya hai
hello	namaste	Namaste
I think this is one of Scorcese's best modern movies	mujhe lagata haye kii yeh scorsese kii sarvshreshth aadhunik filmon mein seey ack haye	Mujhe lagata hai ki ye scorceses ki best modern movie hai
I agree	main sahmat huun	I agree
Great casting	badhiya casting	Bahut achchi casting hai
Who's your favorite character?	aapka pasandida paatr kaun haye?	Aapka favorite character kon hai?
Leo for sure	nishchit roop seey sinh	Leo hamesha ke liye
Incredible performance	avishvasaniya pradarshan	Bahut badiya performance hai
What about you?	aap kaise hain?	AAPKA KYA KHAYAL HEIN?
I'd have to agree, but Jonah Hill really knocked it out of the park in his supporting role	mujhe sahmat honah hoga, lekin jonah hill ney apani sahaayak bhoomika mein vaastav mein ise apratyaashit banaa diyaa	MEIN BHI MAANTHA HOON, LEKIN JOHAN HILL THO REALLY KNOCKED OUT KIY AUS PARK KE SUPPORTING ROLE KO
True. It was very different from his previous work	satya. yeh unake pichale kaam seey bahut alag thaa	SACH, ITNA DIFFERENT THA UNKA PREVIOUS WORK SE
That middle critics review...what were they watching	voe beach key aalochak sameeksha karate hain...kyaa dekh rahey they	CRITICS KA REVIEW THO MIDDLE HEIN.. VOH KYA DEKH RAHE HEIN
I heard he took a huge pay cut just to be in it.	maine sunaa haye kii isamen shamil honey key liye unhone apane vetan mein bhaari katauti kii haye.	MEINA SUNA KI UNKO HUGE PAY MILA
Yeah I don't really agree with those reviews	haan, main vaastav mein una sameekshaon seey sahmat naheen huun	HAAN, LEKIN MEIN REVIEWS MEIN NAHI MAANTHA
Anyone who thinks this glorified his life did not really pay attention lol	joe koee bhee yeh sochata haye kii isase usake jeevan kaa mahimamandan huaa usane vaastav mein dhyaan naheen diyaa	KYA KOI AISE SOCHTE KI, UNKA LIFE KA GLORIFIED, JO VAAKAHI MEIN ACHE ATTENTION NAHI MILA, LOL
Haha yeah	haaha haan	HAHA HAAN YAR
I really liked Matthew McConaughey in his little part too	mujhe maithyu mcconaughy bhee unake chhote seey kirdar mein bahut pasand aayaa	MUJE MATTHEW MCCONAUGHEY PASAND HEIN,
I was just going to say that	main buss yahee kahane jaa rhaa thaa	MEIN THO KAHENE WALA THA
The chest thumping scene might be my favorite part of the movie	seena thokane vaalaa drishya film kaa meraa pasandida hissa hoe sakata haye	chest thumping scene tho mera favorite part hein is movie mein
Yeah it was so weird yet so brilliant	haan, yeh bahut ajib thaa phir bhee bahut shandar thaa	haan, thoda weird hein lekin brilliant
He was the only one who could have done that role IMO	imo vaha ekmatra aise vyakti they joe yeh bhoomika nibha sakate they	bas yeh yekhi he jo imo ka role beheter kar saktha
I think that of many of his roles	main unaki kaee bhoomikaon key baare mein aisaa sochata huun	muje lagtha ki aur kahi role hogi
That phone call is one my favorite scenes as well	vaha phone coll bhee merey pasandida drishyon mein seey ack haye	voh phone call tho mera favorite scene hein
Where he does the demonstration	jahaan vaha pradarshan karate hain	demonstration kaha diya
Hahaha yeah and the "sell me this pen" bit at the diner	hahaha haan aur bhojanalaya mein "mujhe yeh paine becho" vaali baat	haha. diner mein tho sell me this pen
It was a great way to introduce all those weird characters	yeh una sabhi ajib paatron koo pesh karane kaa ack shandar tarika thaa	is weird characters ko introduce karne pe muje acha laga
Nerdiest looking team	sabse bevakoof dikhane vaali team	neardiest team ko
I think this was first movie i saw with margot robbie	mujhe lagata haye kii yeh pahali film thee joe maine margot robby key saath dekhi thee	yeh first movie jo margot robbie ko dekha
Yeah I think this was her biggest role up until that point	haan, mujhe lagata haye kii usa samay taka yeh unaki sabse badee bhoomika thee	Haan mujhe lagta hai us point tak wo uska biggest role tha
I thought she would just be a pretty face but she's actually a great actress	maine socha thaa kii vaha sirf ack sunder chehra hogi lekin vaha vaastav mein ack mahaan abhinetri haye	mujhe laga wo just ek pretty face hogi but wo actually ek great actress hai
Probably her best too because other than like I,Tanya, she hasn't been in anything else that good	shayed vaha bhee sarvshreshth haye kyonki merrie, tanya kii tarah, vaha kissy aur cheez mein itani achchi naheen rahee haye	shayad uski best bhi kyunki I, Tanya, ke alawa usne kabhi kisi itne ache mein kaam nahi kiya
Yeah she's really good	haan vaha sachmuch bahut achchi haye	Haan wo really good hai
Yeah I saw I, Tonya..loved it	haan, maine dekhaa, tonya...mujhe bahut achchha lagaa	han main I, Tonya dekhi..loved it
I think she got nominated for that right?	mujhe lagata haye kii usey isake liye namankit kiya gayaa haye naa?	mujhe lagta hai wo nominate huyi uske liye right?
I think she did for a few awards	mujhe lagata haye kii usane kuchh puraskaron key liye aisaa kiya	mujhe lagta hai kuch awards ke liye
Allison Janney got alot more nominations	ellison jenny koo bahut adhik namankan mille	Allison Janney ko aur zyada nominations miley
Speaking of awards I cannot believe that Leo didn't win an oscar for this	puraskaron kii baat karein tou main vishvaas naheen curr sakata kii leo ney isake liye auskar naheen jeetaa	awards ki baat karun to main believe nahi kar sakta ki Leo ne iske liye Oscar nahi jita
Yeah, i totally thought this would be the one	haan, maine poori tarah seey socha kii yeh vahee hoga	Han, mujhe totally laga ye wo hogi
The Revenant was good but he said maybe 10 lines in the whole 2 hour and 45 minute movie	revenant achchha thaa lekin usane poore 2 ghante aur 45 minut kii film mein shayed 10 panktiyaan kahee theen	The Revenant achi thi par usne puri 2 ghante 45 minute ki movie mein shayad 10 lines boli
Oh really? I havent seen that movie yet	sach mein? maine abhee taka vaha film naheen dekhi haye	Oh really? wo movie nahi dekhi abhi tak
compared to this one where he said something every scene	isaki tulana mein jahaan unhone harr drishya mein kuchh naa kuchh kahaa	is ke comparison mein jahan usne har scene mein kuch kaha
That one is really good but its really visual	vaha vaastav mein achchha haye lekin vaastav mein drishyamaan haye	ye wali kafi achi hai but kafi visual hai
Gotcha	pakad liya	samajh gaya
and there's not a lot of dialogue so it's one of those movies you have to be ready to watch lol	aur isamen bahut adhik samvaad naheen hain, isaliye yeh una filmon mein seey ack haye jinhen dekhane key liye aapako taiyar rehna hoga	aur usme zyada dialogue nahi hai to ye un movies mein se ek hai jo tum dekhne ke liye ready hoge lol
Yeah, that's really why i havent watched it	haan, yahee kaaran haye kii maine ise naheen dekhaa haye	Haan, ye tabhi really maine nahi dekhi
Hello	namaste	Hello ji
The movie is John Wick. Have you seen it before?	film haye johnn wick. kyaa aapane ise pahale dekhaa haye?	The movie is John Wick. Kya tunme isse pahle dekha hai>
I just watched it yesterday	maine ise cull hii dekhaa	Haan, Kal I just watched it.
Did you enjoy it?	kyaa aapako yeh achchha lagaa?	Kya tumne yeh enjoy kiya
yeah I thought it was awesome	haan, mujhe lagaa kii yeh adbhut thaa	Yeah mujhe lagta hain it was awesome
I thought the same thing when I watched it. Keanu was amazing in it.	jaba maine ise dekhaa tou maine bhee yahee socha. keenu isamen adbhut thaa.	Muje wohi lagta hain jab I watched it. Keanu was amazing in it.
I feel like they dont make movies like that anymore, like action movies	mujhe aisaa lagata haye kii way abb action filmon jaisi filmein naheen banaate hain	Mujhe lagta hain woh ab iski tarah do not make movies anymore, like action movies.
They really don't and they should start making this style.	way vaastav mein aisaa naheen karate hain aur unhein yeh shally banaana shuru curr denaa chaahiye.	Bilkul nahin and ab woh start making this style
Yeah exactly	haan, thheek yahee	yes exactly
It was nice to see John Leguizamo make a little bit of a comeback.	johnn leguizamo koo thodi see vaapsee karate hue dekhana achchha lagaa.	yah dekh ke achcha laga ki John Leguizamo ne ek chhota mota comeback kiya hai
I dont remember seeing him in the first one	mujhe yaad naheen kii maine usey pahali baar dekhaa thaa	Mujhe yad nahi first one me use dekhne ka
I would have had the same reaction as Wick  to anyone who killed the puppy my dead wife gave to me.	merrie mrit patni dwara mujhe diye gaye pille koo maarne vaale kissy bhee vyakti key prati merrie bhee wick jaisi hii pratikriya hoti.	mera reaction bhi Wick ki tarah hi hota agar kisi ne mere us puppy ka mara hota jo ki mujhe meri dead wife ne diya tha
yeah your right I would have gone insane.	haan, aap sahee hain main pagal hoe gayaa hotaa.	yes aap right ho mai bhi insane ho jata
It was interesting to see a part of the assassin world. John Wick's car was pretty beautiful until it got stolen.	hatyaron kii duniya kaa ack hissa dekhana dilchasp thaa. johnn wick kii kaar chori honey seey pahale taka bahut sunder thee.	bahut interesting tha assassin ki duniya ke part ko dekhna. John Wick ki car bahut beautiful thi chori hone se pahle.
I was thinking the same thing yesterday his car is cool.	cull main bhee yahee soch rhaa thaa kii usaki kaar mast haye.	mai bhi kal yahi soch raha tha ki uski car kitni cool hai.
No document	koee dastaavez naheen	No document
The move is home alone	chaal akele ghar haye	movie home alone hai
Hi are you ready to get started? This is a batman vs superman superhero crossover movie. Are you familiar with those superheroes?	namaste kyaa aap aarambh karane key liye taiyar hain? yeh ack batman banaam superman superheiro crossover film haye. kyaa aap una superheiro seey parichit hain?	hi tho aap ready ho? yeh tho batman vs superman superhero ka crossover movie hein.. aap tho superheroes se familiar hi honge?
We are here to discuss Batman vs. Superman: Dawn of Justice	humm yahaan batman banaam superman: donn off justice parr charcha karane key liye aae hain	hum yaha batman vs superman yaani dawn of justice ke baare mein discuss karenge
Yes i am familar with the characters but some of the actors i have never heard of	haan, main paatron seey parichit huun, lekin kuchh abhinetaon key baare mein maine kabhi naheen sunaa haye	haan.. muje characters se familiar hoon lekin kuch actors ko nahi patha hein
I think it sounds like an amazing movie. I love superheroes. I think some of the critics are too harsh. It was a good plot line. I am familiar with Ben Affleck but none of the others.	mujhe lagata haye kii yeh ack adbhut film lagati haye. mujhe superheiro bahut pasand hain. mujhe lagata haye kii kuchh aalochak bahut kathor hain. yeh ack achchi kathaanak thee. main bayne affleck seey parichit huun lekin anya kissy seey naheen.	mein kya soch rahi thi ki  yeh amazing movies ke tarah sound kartha.. muje superheroes bahut pasan dhein.. muje lagtha hein ki critics thoda harsh hein.. yeh ache plot line hein.. muje ben affleck se kuch familiar hoon lekin dusra muje nahi patha
I wish they would have used more famous people.	kaash unhone adhik prasiddh logon kaa upayog kiya hotaa.	agar voh aur thoda famous logo ko use kar sakthe they
